timegap,fed,stockId,stockName,before,beforeD,after,afterD,today
1,0.71,6188,廣明,57.93,2023/4/12,54.49,2023/5/22,2023/5/25
1,0.71,3042,晶技,90.5,2023/3/7,89.5,2023/4/11,2023/5/26
5,1,2457,飛宏,53.1,2021/12/27,43,2022/9/12,2022/11/21
5,1,2457,飛宏,53.1,2021/12/27,43.65,2022/11/28,2023/2/20
5,1,3207,耀勝,19.71,2015/3/2,17.18,2018/6/1,2021/8/2
5,1,4953,緯軟,103.06,2021/4/6,95.05,2022/4/11,2023/2/6
5,1,3374,精材,180.93,2021/7/12,145.87,2022/6/6,2023/6/5
1,0.71,6197,,64.9,2023/6/2,63.4,2023/6/21,2023/6/23
5,1,3128,昇銳,51.3,2023/3/1,45.7,2023/6/12,2023/6/23
5,1,5426,振發,17.83,2018/1/2,17.4,2022/9/1,2023/6/23
5,1,1437,勤益控,31.4,2023/3/6,30.7,2023/4/17,2023/6/23
1,0.71,3038,全台,39.3,2023/6/7,38.9,2023/6/16,2023/6/23
1,0.71,4541,,51,2023/5/8,46.4,2023/6/20,2023/6/23
5,1,2008,,21.75,2022/3/7,20.8,2023/3/6,2023/6/23
5,1,6279,,179,2022/10/3,177.5,2023/6/12,2023/6/23
5,1,9904,,36.57,2021/7/12,34.8,2023/2/13,2023/6/23
1,0.71,1609,,40.7,2023/6/9,40.05,2023/6/16,2023/6/23
1,0.71,8086,,95.4,2023/4/17,95.4,2023/6/5,2023/6/23
5,1,5243,,91.5,2023/6/5,84.5,2023/6/19,2023/6/23
5,1,3141,,150,2022/8/15,122,2023/3/6,2023/6/23
5,1,3288,點晶,26.3,2022/11/14,26.1,2023/5/8,2023/6/23
5,1,2466,冠西電,38.7,2007/3/1,43.88,2021/9/1,2023/6/23
5,1,1611,中電,20.13,2023/4/17,19.94,2023/6/12,2023/6/23
5,1,1529,樂事綠能,46,2023/5/2,45.1,2023/6/12,2023/6/23
5,1,3265,台星科,72,2023/5/29,71.5,2023/6/12,2023/6/23
1,0.71,1608,華榮,25,2023/6/7,24.1,2023/6/16,2023/6/23
5,1,6443,元晶,44.75,2022/1/3,41.5,2023/4/17,2023/6/23
5,1,4557,永新KY,138,2022/8/22,120.5,2023/5/22,2023/6/23